Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2017-07-17,214.5306396484375,214.86266706254005,214.35589328975448,214.47821707406186,33531900
2017-07-18,214.64425659179688,214.69667917247628,213.7792440137043,214.12000412041456,42742500
2017-07-19,215.80628967285156,215.81502232352327,214.9500099445451,214.95875592750787,51034300
2017-07-20,215.90243530273438,216.18202682235125,215.35197158321972,216.05970303271388,47135200
2017-07-21,215.71022033691406,215.73643162646357,215.0985880279755,215.32577031379626,82340800
2017-07-24,215.65782165527344,215.79761077092985,215.18599172651037,215.63159703052415,46622300
2017-07-25,216.1820526123047,216.51408008048458,215.954883642247,216.4092215823624,54915600
2017-07-26,216.19073486328125,216.50528361972533,215.92862200982088,216.47033968336117,47575400
2017-07-27,215.98976135253906,216.6887600190587,214.66166521938086,216.6538160852635,70766600
2017-07-28,215.73641967773438,215.86747611822327,215.05489952260615,215.50923740449628,50088400
2017-07-31,215.6140594482422,216.2344109381013,215.40435584660898,216.1382984538891,65838700
2017-08-01,216.09466552734375,216.2519332611237,215.5704130834903,216.21698931993708,55050400
2017-08-02,216.19949340820312,216.33929582636586,215.2645797355687,216.2257046950721,47211200
2017-08-03,215.7800750732422,216.11208911345005,215.50047026855043,216.08587782954655,40856000
2017-08-04,216.17330932617188,216.505323445726,215.7888592939885,216.26942183421772,60191800
2017-08-07,216.5751953125,216.5751953125,216.1383227591881,216.2431812379417,31995000
2017-08-08,216.042236328125,217.48392392735892,215.66653228645106,216.26067263113373,61719400
2017-08-09,216.033447265625,216.08586983149164,214.99368860163509,215.35192724477773,62632600
2017-08-10,212.98410034179688,215.32574413781086,212.9316777690706,215.194674373703,120479500
2017-08-11,213.2986602783203,213.89281390900854,212.97537884138708,213.21129376329955,74869900
2017-08-14,215.41314697265625,215.63158328404472,214.54814771222627,214.5830916558389,73291900
2017-08-15,215.3869171142578,215.81505704729705,215.08111430405256,215.7975784108503,55242700
2017-08-16,215.76258850097656,216.31305210727757,215.33444865915462,215.9111235483947,56715500
